port,date,cruise_ship,cruise_line,arrive,depart
"Alesund, Norway",11-Aug-19,Costa Pacifica,Costa Cruises,10:30,18:30
"Alesund, Norway",13-Aug-19,AIDAsol,AIDA Cruises,08:00,13:00
"Alesund, Norway",13-Aug-19,MSC Meraviglia,MSC Cruises,07:00,16:00
"Alesund, Norway",14-Aug-19,Britannia,P&O Cruises,08:00,17:00
"Alesund, Norway",15-Aug-19,ms Nieuw Statendam,Holland America,10:00,19:00
"Alesund, Norway",15-Aug-19,Seven Seas Explorer,Regent Seven Seas,08:00,23:00
"Alesund, Norway",17-Aug-19,Mein Schiff 4,TUI Cruises,13:00,19:00
"Alesund, Norway",20-Aug-19,AIDAdiva,AIDA Cruises,14:00,19:00
"Alesund, Norway",22-Aug-19,Serenade Of The Seas,Royal Caribbean,08:00,20:00
"Alesund, Norway",22-Aug-19,Viking Sky,Viking Cruises,,
"Alesund, Norway",23-Aug-19,AIDAsol,AIDA Cruises,08:00,13:00
"Alesund, Norway",24-Aug-19,ms Zuiderdam,Holland America,08:00,17:00
"Alesund, Norway",25-Aug-19,Star Breeze,Windstar Cruises,13:00,21:00
"Alesund, Norway",27-Aug-19,AIDAdiva,AIDA Cruises,14:00,19:00
"Alesund, Norway",27-Aug-19,Disney Magic,Disney Cruise Line,11:00,23:00
"Alesund, Norway",28-Aug-19,Celebrity Silhouette,Celebrity Cruises,08:00,17:00
"Alesund, Norway",28-Aug-19,Azura,P&O Cruises,08:00,18:00
"Alesund, Norway",31-Aug-19,Zenith,Pullmantur Cruises,,
"Alesund, Norway",01-Sep-19,Costa Pacifica,Costa Cruises,10:30,18:30
"Alesund, Norway",02-Sep-19,AIDAsol,AIDA Cruises,08:00,13:00
"Alesund, Norway",02-Sep-19,MSC Orchestra,MSC Cruises,10:00,18:00
"Alesund, Norway",02-Sep-19,Saga Sapphire,Saga Cruises,08:00,17:00
"Alesund, Norway",04-Sep-19,Celebrity Silhouette,Celebrity Cruises,08:00,17:00
"Alesund, Norway",04-Sep-19,Pacific Princess,Princess Cruises,07:00,17:00
"Alesund, Norway",05-Sep-19,AIDAbella,AIDA Cruises,06:00,13:00
"Alesund, Norway",06-Sep-19,ms Europa 2,Hapag Lloyd,12:00,19:00
"Alesund, Norway",09-Sep-19,AIDAsol,AIDA Cruises,14:00,19:00
"Alesund, Norway",10-Sep-19,Ventura,P&O Cruises,08:00,17:00
"Alesund, Norway",11-Sep-19,ms Nieuw Statendam,Holland America,08:00,23:00
"Alesund, Norway",17-Sep-19,Amera,Phoenix Reisen,08:00,12:00
"Alesund, Norway",18-Sep-19,Explorer Of The Seas,Royal Caribbean,07:00,16:00
"Alesund, Norway",23-Sep-19,AIDAsol,AIDA Cruises,08:00,13:00
"Alesund, Norway",24-Sep-19,AIDAperla,AIDA Cruises,10:00,20:00
"Alesund, Norway",30-Sep-19,Spirit Of Discovery,Saga Cruises,08:00,17:00
"Alesund, Norway",03-Oct-19,AIDAsol,AIDA Cruises,08:00,13:00
"Alesund, Norway",11-Oct-19,Queen Elizabeth,Cunard,08:00,17:00
"Alesund, Norway",13-Oct-19,AIDAsol,AIDA Cruises,08:00,13:00
"Alesund, Norway",22-Oct-19,Astoria ,Cruise & Maritime,07:00,13:00
"Alesund, Norway",22-Oct-19,Sapphire Princess,Princess Cruises,07:00,18:00
"Alesund, Norway",23-Oct-19,AIDAsol,AIDA Cruises,08:00,13:00
"Alesund, Norway",19-Nov-19,Queen Victoria,Cunard,08:00,17:00
